index,sourceNodeName,targetNodeName,totalCost,nodeNames,costs,path
0,ETHMAINBLOCK,ETHMAINBLOCK,0.0,[ETHMAINBLOCK],[0.0],"[{""communityId"":9260,""address"":ETHMAINBLOCK}]"
1,ETHMAINBLOCK,0x0000000000000000000000000000000000000000,5.0,"[ETHMAINBLOCK,0x0000000000000000000000000000000000000000]","[0.0,5.0]","[{""communityId"":9260,""address"":ETHMAINBLOCK},{""communityId"":11,""address"":0x0000000000000000000000000000000000000000}]"
2,ETHMAINBLOCK,0x3282791d6fd713f1e94f4bfd565eaa78b3a0599d,1342.0,"[ETHMAINBLOCK,0x0000000000000000000000000000000000000000,0x3282791d6fd713f1e94f4bfd565eaa78b3a0599d]","[0.0,5.0,1342.0]","[{""communityId"":9260,""address"":ETHMAINBLOCK},{""communityId"":11,""address"":0x0000000000000000000000000000000000000000},{""communityId"":11,""address"":0x3282791d6fd713f1e94f4bfd565eaa78b3a0599d}]"
3,ETHMAINBLOCK,0x17961d633bcf20a7b029a7d94b7df4da2ec5427f,234.427,"[ETHMAINBLOCK,0x0000000000000000000000000000000000000000,0x17961d633bcf20a7b029a7d94b7df4da2ec5427f]","[0.0,5.0,234.427]","[{""communityId"":9260,""address"":ETHMAINBLOCK},{""communityId"":11,""address"":0x0000000000000000000000000000000000000000},{""communityId"":11,""address"":0x17961d633bcf20a7b029a7d94b7df4da2ec5427f}]"
4,ETHMAINBLOCK,0x493a67fe23decc63b10dda75f3287695a81bd5ab,885.0,"[ETHMAINBLOCK,0x0000000000000000000000000000000000000000,0x493a67fe23decc63b10dda75f3287695a81bd5ab]","[0.0,5.0,885.0]","[{""communityId"":9260,""address"":ETHMAINBLOCK},{""communityId"":11,""address"":0x0000000000000000000000000000000000000000},{""communityId"":11,""address"":0x493a67fe23decc63b10dda75f3287695a81bd5ab}]"
5,ETHMAINBLOCK,0x01fb8ec12425a04f813e46c54c05748ca6b29aa9,264.8,"[ETHMAINBLOCK,0x0000000000000000000000000000000000000000,0x01fb8ec12425a04f813e46c54c05748ca6b29aa9]","[0.0,5.0,264.8]","[{""communityId"":9260,""address"":ETHMAINBLOCK},{""communityId"":11,""address"":0x0000000000000000000000000000000000000000},{""communityId"":11,""address"":0x01fb8ec12425a04f813e46c54c05748ca6b29aa9}]"
6,ETHMAINBLOCK,0xd2a030ac8952325f9e1db378a71485a24e1b07b2,2005.0,"[ETHMAINBLOCK,0x0000000000000000000000000000000000000000,0xd2a030ac8952325f9e1db378a71485a24e1b07b2]","[0.0,5.0,2005.0]","[{""communityId"":9260,""address"":ETHMAINBLOCK},{""communityId"":11,""address"":0x0000000000000000000000000000000000000000},{""communityId"":11,""address"":0xd2a030ac8952325f9e1db378a71485a24e1b07b2}]"
7,ETHMAINBLOCK,0x77a34907f305a54c85db09c363fde3c47e6ae21f,990.0,"[ETHMAINBLOCK,0x0000000000000000000000000000000000000000,0x77a34907f305a54c85db09c363fde3c47e6ae21f]","[0.0,5.0,990.0]","[{""communityId"":9260,""address"":ETHMAINBLOCK},{""communityId"":11,""address"":0x0000000000000000000000000000000000000000},{""communityId"":11,""address"":0x77a34907f305a54c85db09c363fde3c47e6ae21f}]"
8,ETHMAINBLOCK,0x391a77405c09a72b5e8436237aaaf95d68da1709,54.082,"[ETHMAINBLOCK,0x0000000000000000000000000000000000000000,0x391a77405c09a72b5e8436237aaaf95d68da1709]","[0.0,5.0,54.082]","[{""communityId"":9260,""address"":ETHMAINBLOCK},{""communityId"":11,""address"":0x0000000000000000000000000000000000000000},{""communityId"":11,""address"":0x391a77405c09a72b5e8436237aaaf95d68da1709}]"
9,ETHMAINBLOCK,0x00aada25ea2286709abb422d41923fd380cd04c7,655.1,"[ETHMAINBLOCK,0x0000000000000000000000000000000000000000,0x00aada25ea2286709abb422d41923fd380cd04c7]","[0.0,5.0,655.1]","[{""communityId"":9260,""address"":ETHMAINBLOCK},{""communityId"":11,""address"":0x0000000000000000000000000000000000000000},{""communityId"":11,""address"":0x00aada25ea2286709abb422d41923fd380cd04c7}]"
10,ETHMAINBLOCK,0xacc46a2a555c74ded4a2bd094e821b97843b40c0,1945.0,"[ETHMAINBLOCK,0x0000000000000000000000000000000000000000,0xacc46a2a555c74ded4a2bd094e821b97843b40c0]","[0.0,5.0,1945.0]","[{""communityId"":9260,""address"":ETHMAINBLOCK},{""communityId"":11,""address"":0x0000000000000000000000000000000000000000},{""communityId"":11,""address"":0xacc46a2a555c74ded4a2bd094e821b97843b40c0}]"
11,ETHMAINBLOCK,0xde07fb5b7a464e3ba7fbe09e9acb271af5338c58,55.0,"[ETHMAINBLOCK,0x0000000000000000000000000000000000000000,0xde07fb5b7a464e3ba7fbe09e9acb271af5338c58]","[0.0,5.0,55.0]","[{""communityId"":9260,""address"":ETHMAINBLOCK},{""communityId"":11,""address"":0x0000000000000000000000000000000000000000},{""communityId"":11,""address"":0xde07fb5b7a464e3ba7fbe09e9acb271af5338c58}]"
12,ETHMAINBLOCK,0x4c696be99f3a690440c3436a59a7d7e937d6ba0d,3465.0,"[ETHMAINBLOCK,0x0000000000000000000000000000000000000000,0x4c696be99f3a690440c3436a59a7d7e937d6ba0d]","[0.0,5.0,3465.0]","[{""communityId"":9260,""address"":ETHMAINBLOCK},{""communityId"":11,""address"":0x0000000000000000000000000000000000000000},{""communityId"":12,""address"":0x4c696be99f3a690440c3436a59a7d7e937d6ba0d}]"
13,ETHMAINBLOCK,0xfa33553285a973719a0d5f956ff861b2d89ed304,25.0,"[ETHMAINBLOCK,0x0000000000000000000000000000000000000000,0xfa33553285a973719a0d5f956ff861b2d89ed304]","[0.0,5.0,25.0]","[{""communityId"":9260,""address"":ETHMAINBLOCK},{""communityId"":11,""address"":0x0000000000000000000000000000000000000000},{""communityId"":13,""address"":0xfa33553285a973719a0d5f956ff861b2d89ed304}]"
14,ETHMAINBLOCK,0x67cfda6e70bf7657d39059b59790e5145afdbe61,651.0,"[ETHMAINBLOCK,0x0000000000000000000000000000000000000000,0x67cfda6e70bf7657d39059b59790e5145afdbe61]","[0.0,5.0,651.0]","[{""communityId"":9260,""address"":ETHMAINBLOCK},{""communityId"":11,""address"":0x0000000000000000000000000000000000000000},{""communityId"":14,""address"":0x67cfda6e70bf7657d39059b59790e5145afdbe61}]"
