symbol,block,txno,value,address
ETH,471,0,5.0,0x28921e4e2c9d84f4c0f0c0ceb991f45751a0fe93
ETH,6698,0,5.0,0x39d678e1a5a4bd201c1285a305fd1b5849388ea3
ETH,1837,0,5.0,0xde50f61a9a1176b7875050872c6baf0032e6f6ff
ETH,1101,0,5.0,0xbb7b8287f3f0a933474a79eae42cbca977791171
ETH,5514,0,5.0,0x1217627fe41a00f0b828317f43e6d58f47dbfc43
ETH,2526,0,5.0,0xa1623430350c5df1b52b0b57483a5bb45d1796da
ETH,9058,0,5.0,0xf927a40c8b7f6e07c5af7fa2155b4864a4112b13
ETH,5133,0,5.0,0xd7e30ae310c1d1800f5b641baa7af95b2e1fd98c
ETH,4661,0,5.0,0x28921e4e2c9d84f4c0f0c0ceb991f45751a0fe93
ETH,5363,0,5.0,0x9ab9f7a4b85412bfbe2f4f63b1c98808851c4f32
ETH,2024,0,5.0,0xbb7b8287f3f0a933474a79eae42cbca977791171
ETH,6797,0,5.0,0xbb7b8287f3f0a933474a79eae42cbca977791171
ETH,8155,0,5.0,0xf927a40c8b7f6e07c5af7fa2155b4864a4112b13
ETH,8897,0,5.0,0x4e5c9fd685dcc9abede1cbde4959039388bf7c5a
ETH,9282,0,5.0,0xf927a40c8b7f6e07c5af7fa2155b4864a4112b13
ETH,4335,0,5.0,0x35e8e5dc5fbd97c5b421a80b596c030a2be2a04d
ETH,4900,0,5.0,0x9dfc0377058b7b9eb277421769b56df1395705f0
ETH,8423,0,5.0,0x88d74a59454f6cf3b51ef6b9136afb6b9d405a88
ETH,8665,0,5.0,0x4e5c9fd685dcc9abede1cbde4959039388bf7c5a
ETH,8394,0,5.0,0x26e3f7c9e444f2ca9e0be2af841bd060cf1cbddb
ETH,6276,0,5.0,0xbb7b8287f3f0a933474a79eae42cbca977791171
ETH,8235,0,5.0,0xbb7b8287f3f0a933474a79eae42cbca977791171
ETH,8160,0,5.0,0x8b13ed0ca3e77927c17cc1466dfe4c05b81df7da
ETH,3763,0,5.0,0xbb12b5a9b85d4ab8cde6056e9c1b2a4a337d2261
ETH,1290,0,5.0,0xc1cdc601f89c0428b31302d187e0dc08ad7d1c57
ETH,3320,0,5.0,0xbb7b8287f3f0a933474a79eae42cbca977791171
ETH,5703,0,5.0,0x228ed249a4299b231f83a502c12d904e48c5842c
ETH,4863,0,5.0,0xb5edd17d2582a94610ebf0c6832c1652ebbbe210
ETH,4828,0,5.0,0x9dfc0377058b7b9eb277421769b56df1395705f0
ETH,2795,0,5.0,0x9dfc0377058b7b9eb277421769b56df1395705f0
ETH,7605,0,5.0,0x53824166ea5271d3425e3194c848a90ca4e97eb2
ETH,2014,0,5.0,0xbb7b8287f3f0a933474a79eae42cbca977791171
ETH,1535,0,5.0,0x896f51055242afb540c777eaf24affa8ea14956b
ETH,1233,0,5.0,0x55d1554b08a5311c5c0a0b6464162192f9d2f884
ETH,7293,0,5.0,0xd7e30ae310c1d1800f5b641baa7af95b2e1fd98c
ETH,3378,0,5.0,0x5b3e850e39e6f2c7dd38707b649e2b3536f14c0b
ETH,2944,0,5.0,0xbb7b8287f3f0a933474a79eae42cbca977791171
ETH,9147,0,5.0,0x761c1c8c4d538e10dadeb2b226644c29caf0b73f
ETH,9386,0,5.0,0xcaa35516f621a4c3fe2a5bb5a48135b0e6599faf
ETH,8885,0,5.0,0xbb12b5a9b85d4ab8cde6056e9c1b2a4a337d2261
ETH,8513,0,5.0,0x39d678e1a5a4bd201c1285a305fd1b5849388ea3
ETH,8100,0,5.0,0x7c09fc7bf606786c2ffd57ffe7c84a0ffe275a36
ETH,3597,0,5.0,0x28921e4e2c9d84f4c0f0c0ceb991f45751a0fe93
ETH,7081,0,5.0,0xd7e30ae310c1d1800f5b641baa7af95b2e1fd98c
ETH,8702,0,5.0,0x0aa8ae2485e31c024201bdf77bfa25021bc10c5b
ETH,2290,0,5.0,0x9beb4d346c6309a9ce4f27393c6322c8f03a3be6
ETH,6473,0,5.0,0xbb7b8287f3f0a933474a79eae42cbca977791171
ETH,907,0,5.0,0x5088d623ba0fcf0131e0897a91734a4d83596aa0
ETH,1506,0,5.0,0xbb7b8287f3f0a933474a79eae42cbca977791171
ETH,8619,0,5.0,0x51d8782d82258441078e57141daa8ffddaf8f57d
ETH,913,0,5.0,0x5088d623ba0fcf0131e0897a91734a4d83596aa0
ETH,1789,0,5.0,0x9dfc0377058b7b9eb277421769b56df1395705f0
ETH,3588,0,5.0,0xbb7b8287f3f0a933474a79eae42cbca977791171
ETH,9675,0,5.0,0xbd744e3f13d79b33f6c8e1d5e32f8e9ba2866c46
ETH,6446,0,5.0,0x28921e4e2c9d84f4c0f0c0ceb991f45751a0fe93
ETH,6329,0,5.0,0x950f41ea60d4f48cc7bc67a96555ffb2661a081c
ETH,5633,0,5.0,0xf927a40c8b7f6e07c5af7fa2155b4864a4112b13
ETH,6402,0,5.0,0x228ed249a4299b231f83a502c12d904e48c5842c
ETH,4679,0,5.0,0x15de68788d01b2504df8621cb4721c54ed543305
ETH,4621,0,5.0,0xbb7b8287f3f0a933474a79eae42cbca977791171
ETH,1298,0,5.0,0x8f22398f1567cddaba1b6bb1973e62b4992d5c9c
ETH,2384,0,5.0,0xb5edd17d2582a94610ebf0c6832c1652ebbbe210
ETH,7075,0,5.0,0xf927a40c8b7f6e07c5af7fa2155b4864a4112b13
ETH,3266,0,5.0,0x8f22398f1567cddaba1b6bb1973e62b4992d5c9c
ETH,7541,0,5.0,0xbb7b8287f3f0a933474a79eae42cbca977791171
ETH,3821,0,5.0,0x8d1c6749eab6db364671e1e1a2f12711a977b184
ETH,5089,0,5.0,0xbb7b8287f3f0a933474a79eae42cbca977791171
ETH,922,0,5.0,0xbb12b5a9b85d4ab8cde6056e9c1b2a4a337d2261
