name,communityId,intermediateCommunityIds
null,8911,"[8905,8969,9165,8904,8946,9381,9389,8964,8902,8911]"
null,3426,"[6700,2199,7366,5416,166,7115,3440,2765,6671,3426]"
null,2,"[2,2,2,2,2,2,2,2,2,2]"
null,3,"[3,3,3,3,3,3,3,3,3,3]"
null,4,"[4,4,4,4,4,4,4,4,4,4]"
null,5,"[5,5,5,5,5,5,5,5,5,5]"
null,6,"[6,6,6,6,6,6,6,6,6,6]"
null,7,"[7,7,7,7,7,7,7,7,7,7]"
null,8,"[8,8,8,8,8,8,8,8,8,8]"
null,9,"[9,9,9,9,9,9,9,9,9,9]"
null,10,"[10,10,10,10,10,10,10,10,10,10]"
null,11,"[11,11,11,11,11,11,11,11,11,11]"
null,12,"[12,12,12,12,12,12,12,12,12,12]"
null,13,"[13,13,13,13,13,13,13,13,13,13]"
null,14,"[14,14,14,14,14,14,14,14,14,14]"
null,15,"[15,15,15,15,15,15,15,15,15,15]"
null,16,"[16,16,16,16,16,16,16,16,16,16]"
null,17,"[17,17,17,17,17,17,17,17,17,17]"
null,18,"[18,18,18,18,18,18,18,18,18,18]"
null,19,"[19,19,19,19,19,19,19,19,19,19]"
null,20,"[20,20,20,20,20,20,20,20,20,20]"
null,21,"[21,21,21,21,21,21,21,21,21,21]"
null,22,"[22,22,22,22,22,22,22,22,22,22]"
null,23,"[23,23,23,23,23,23,23,23,23,23]"
null,24,"[24,24,24,24,24,24,24,24,24,24]"
null,25,"[25,25,25,25,25,25,25,25,25,25]"
null,26,"[26,26,26,26,26,26,26,26,26,26]"
null,27,"[27,27,27,27,27,27,27,27,27,27]"
null,28,"[28,28,28,28,28,28,28,28,28,28]"
null,29,"[29,29,29,29,29,29,29,29,29,29]"
null,30,"[30,30,30,30,30,30,30,30,30,30]"
null,31,"[31,31,31,31,31,31,31,31,31,31]"
null,32,"[32,32,32,32,32,32,32,32,32,32]"
null,33,"[33,33,33,33,33,33,33,33,33,33]"
null,34,"[34,34,34,34,34,34,34,34,34,34]"
null,35,"[35,35,35,35,35,35,35,35,35,35]"
null,36,"[36,36,36,36,36,36,36,36,36,36]"
null,37,"[37,37,37,37,37,37,37,37,37,37]"
null,38,"[38,38,38,38,38,38,38,38,38,38]"
null,39,"[39,39,39,39,39,39,39,39,39,39]"
null,40,"[40,40,40,40,40,40,40,40,40,40]"
null,41,"[41,41,41,41,41,41,41,41,41,41]"
null,42,"[42,42,42,42,42,42,42,42,42,42]"
null,43,"[43,43,43,43,43,43,43,43,43,43]"
null,44,"[44,44,44,44,44,44,44,44,44,44]"
null,45,"[45,45,45,45,45,45,45,45,45,45]"
null,46,"[46,46,46,46,46,46,46,46,46,46]"
null,47,"[47,47,47,47,47,47,47,47,47,47]"
null,48,"[48,48,48,48,48,48,48,48,48,48]"
null,49,"[49,49,49,49,49,49,49,49,49,49]"
null,50,"[50,50,50,50,50,50,50,50,50,50]"
null,51,"[51,51,51,51,51,51,51,51,51,51]"
null,52,"[52,52,52,52,52,52,52,52,52,52]"
null,53,"[53,53,53,53,53,53,53,53,53,53]"
null,54,"[54,54,54,54,54,54,54,54,54,54]"
null,55,"[55,55,55,55,55,55,55,55,55,55]"
null,56,"[56,56,56,56,56,56,56,56,56,56]"
null,57,"[57,57,57,57,57,57,57,57,57,57]"
null,58,"[58,58,58,58,58,58,58,58,58,58]"
null,59,"[59,59,59,59,59,59,59,59,59,59]"
null,60,"[60,60,60,60,60,60,60,60,60,60]"
null,61,"[61,61,61,61,61,61,61,61,61,61]"
null,62,"[62,62,62,62,62,62,62,62,62,62]"
null,63,"[63,63,63,63,63,63,63,63,63,63]"
null,64,"[64,64,64,64,64,64,64,64,64,64]"
null,65,"[65,65,65,65,65,65,65,65,65,65]"
null,66,"[66,66,66,66,66,66,66,66,66,66]"
